"Table S6. Quasi-likelihood F-tests for NS0794 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
"PTS system, mannose/fructose/sorbose family, IIB component",-0.602997518,11.39847057,1.432847507,0.292892225,0.99577859
Aminoglycoside phosphotransferase family protein,0.717222284,7.711800443,1.431978207,0.293019946,0.99577859
Serine--tRNA ligase,-0.512002566,8.336487775,1.43005951,0.293302168,0.99577859
DNA alkylation repair protein,-0.762302495,5.466698412,1.42677021,0.293787019,0.99577859
Phosphate-specific transport system accessory protein PhoU,0.472627388,8.100758118,1.423678013,0.294243997,0.99577859
Ribosomal protein L11 methyltransferase,-0.49217182,5.993944509,1.410659766,0.296180585,0.99577859
Maltose phosphorylase,1.319462692,7.110276902,1.396989499,0.298236505,0.99577859
Methyltransferase domain-containing protein,0.484307577,8.072113254,1.393480634,0.298767952,0.99577859
Phage head morphogenesis domain-containing protein,-0.591328992,1.394910208,1.391665548,0.299052494,0.99577859
putative tRNA sulfurtransferase,-1.071157509,6.319650936,1.390005723,0.299295774,0.99577859
V-type sodium ATPase subunit E,0.436755097,7.484586357,1.386910723,0.299767165,0.99577859
ATP-dependent Clp protease proteolytic subunit,-0.457911091,8.422570197,1.385596204,0.299967742,0.99577859
IS256 family ISEf1 transposase,-0.879349944,9.070596617,1.379203987,0.300946216,0.99577859
Type I restriction enzyme endonuclease subunit,-0.939182557,8.300153535,1.374515169,0.30166725,0.99577859
Chromosomal replication initiator protein DnaA,0.477194123,9.168430704,1.369306634,0.302471506,0.99577859
Galactokinase,2.593129207,10.61989016,1.364822227,0.303166748,0.99577859
Ribosomal protein L21 leader,-0.644505051,5.809265934,1.362409354,0.303541907,0.99577859
Phage terminase large subunit,-0.553565761,-0.893619265,1.360311755,0.304019186,0.99577859
IS1182 family ISEfa7 transposase,-0.687494631,7.042199544,1.354991211,0.304700042,0.99577859
UDP-N-acetylmuramoylalanine--D-glutamate ligase,-1.234611409,7.066470389,1.35345361,0.304940996,0.99577859
DEAD/DEAH box helicase,-0.604565956,7.110354923,1.352826031,0.305039432,0.99577859
Trigger factor,-0.650638885,10.7573732,1.341132483,0.30688309,0.99577859
Uncharacterized protein YhaN AAA domain-containing protein,0.532138266,8.228165799,1.326192257,0.309265234,0.99577859
tRNA-Ser(gga),-1.809898625,6.413499243,1.323915758,0.309630864,0.99577859
Na+/dicarboxylate symporter,-0.868625604,10.76757876,1.321716348,0.309984783,0.99577859
Nudix family transcriptional regulator,0.453574183,8.164345116,1.300518562,0.313430058,0.99577859
Phage transcriptional activator ArpU,0.995944691,2.769038364,1.296752886,0.314050837,0.99577859
DUF3955 domain-containing protein,0.762089083,8.05162801,1.295339709,0.314281318,0.99577859
V-type sodium ATPase subunit I,0.530038688,10.45033096,1.290134522,0.315140734,0.99577859
tRNA-Asp(gtc),-1.81803548,3.168330528,1.290056757,0.315153676,0.99577859
DUF218 domain-containing protein,-0.430031453,7.983857447,1.287893526,0.315511928,0.99577859
GTPase Der,-0.711726872,8.763493092,1.285797027,0.315859838,0.99577859
PTS N-acetylglucosamine transporter subunit IIABC,-0.899070928,5.467674829,1.283177379,0.316295451,0.99577859
Peptidase T,0.419893653,9.424031216,1.282611817,0.316389624,0.99577859
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,-0.98552938,7.954404855,1.278272789,0.317113673,0.99577859
Phenolic acid decarboxylase PadC,-0.482345745,1.217425327,1.271387291,0.318277055,0.99577859
Oligoendopeptidase O,-0.533293729,8.477325104,1.271174886,0.318303978,0.99577859
3'-5' exonuclease DinG,-0.543959997,7.103009772,1.271071934,0.318321297,0.99577859
PTS system mannitol-specific EIICB component,1.013883683,6.692298211,1.269786271,0.318537706,0.99577859
Threonylcarbamoyl-AMP synthase,-1.239194884,4.715429711,1.266872645,0.319029042,0.99577859
Solute-binding protein family 3/N-terminal domain-containing protein,-0.720595003,6.013788138,1.25439406,0.321147508,0.99577859
CARD domain-containing protein,-0.575367477,4.635274797,1.253554934,0.321290799,0.99577859
Listeria sRNA rliD,0.686654433,7.271245473,1.251436207,0.321653056,0.99577859
Peptide chain release factor 3,-0.681133103,7.703945352,1.249049151,0.322062003,0.99577859
"ABC transporter, ATP-binding protein",-0.649823994,10.49596771,1.242059319,0.323264434,0.99577859
UPF0173 metal-dependent hydrolase Bsph_4138,-0.584540614,6.447796627,1.241036608,0.323440988,0.99577859
Veg protein,0.583975671,8.506593768,1.236145346,0.324287586,0.99577859
5S ribosomal RNA,-1.715958934,1.826745259,1.234071008,0.324654805,0.99577859
"ABC superfamily ATP binding cassette transporter, ABC protein",0.458097853,4.770841307,1.233319092,0.324778437,0.99577859
Iron ABC transporter system permease,-0.682946914,2.14477402,1.230306026,0.325305272,0.99577859
"Glycosyl transferase, family 2",-0.745908712,7.374008512,1.228533346,0.325612399,0.99577859
4-hydroxybenzoate octaprenyltransferase,0.670385875,4.984030415,1.228356529,0.325643282,0.99577859
Flavodoxin,-0.539692583,6.207494147,1.224183776,0.326373432,0.99577859
Cation transport protein,0.463879716,4.932978099,1.223551324,0.326484337,0.99577859
Fimbrial isopeptide formation D2 domain-containing protein,-0.987784818,8.377931101,1.220192492,0.327074367,0.99577859
HTH-type transcriptional regulator MalR,0.711509297,8.266496968,1.219654188,0.327169092,0.99577859
Ribosome biogenesis GTPase YqeH,-0.498889365,8.593709003,1.216667341,0.327695515,0.99577859
Rhodanese domain-containing protein,-0.809432453,7.383051134,1.21645336,0.327733282,0.99577859
TPP riboswitch (THI element),-0.779298984,6.610327744,1.214223503,0.328127277,0.99577859
ATP synthase subunit beta,-0.49147787,10.33967752,1.213385972,0.328275464,0.99577859
Putative two-component membrane permease complex subunit SMU_747c,-0.63026754,2.18784028,1.211207781,0.328663544,0.99577859
Osmoprotectant-binding protein,-0.446247759,6.913196808,1.209642734,0.328939122,0.99577859
Putative sensor-like histidine kinase,-0.627805625,4.352832098,1.208261547,0.329184567,0.99577859
Bifunctional oligoribonuclease and PAP phosphatase NrnA,-0.440284618,6.088049266,1.203217117,0.330083548,0.99577859
Ribosome maturation factor RimM,0.571216863,6.75262061,1.198779702,0.330877727,0.99577859
aminoglycoside 6'-N-acetyltransferase,-0.4760565,4.269913307,1.19728888,0.331145262,0.99577859
"Transporter, major facilitator family protein",0.689181531,6.976131805,1.193103983,0.331898159,0.99577859
DNA topology modulation protein,-0.589503888,1.698973698,1.191635008,0.332169446,0.99577859
Enterococcus sRNA 2410,0.770701377,8.81971317,1.190535576,0.332361648,0.99577859
PTS beta-glucoside transporter subunit EIIBCA,1.478992217,9.333178588,1.189633127,0.332524757,0.99577859
Anaerobic ribonucleoside-triphosphate reductase-activating protein,-0.854203584,6.635935862,1.188403844,0.332747153,0.99577859
ISL3 family ISEfa5 transposase,-0.557718653,9.355566829,1.18530284,0.333309269,0.99577859
Biotin carboxylase,-0.635533062,10.84582131,1.181150289,0.334064474,0.99577859
Small ribosomal subunit protein uS9,-0.801281808,9.831774891,1.179727311,0.334323919,0.99577859
30S ribosomal protein S20 family protein,-0.481187591,1.530649569,1.178787864,0.334501743,0.99577859
ATP-dependent protease ATPase subunit HslU,-1.260510086,7.210794435,1.177874305,0.334662272,0.99577859
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,-1.102288776,7.85636797,1.176170967,0.334973798,0.99577859
Phage tail tape measure protein,0.517950493,0.786274317,1.171305601,0.335884535,0.99577859
Transcription termination/antitermination protein NusA,-0.610003588,8.196829252,1.169652587,0.336170425,0.99577859
PSP1 C-terminal domain protein,0.393675923,7.834364011,1.165407234,0.336953608,0.99577859
DUF4176 domain-containing protein,0.727358917,3.876432598,1.16335293,0.337333691,0.99577859
Tyrosine recombinase XerD,0.598612708,6.678239252,1.162113778,0.337563282,0.99577859
Prevent-host-death protein,0.479043983,6.86808174,1.159538835,0.338041228,0.99577859
Sugar fermentation stimulation -like protein,-0.401804672,6.533350377,1.158725512,0.338192427,0.99577859
Niacin transporter NiaX,-0.787787926,2.487440314,1.152693504,0.339317407,0.99577859
Phosphatidylglycerophosphatase A,-0.410145477,6.437406881,1.14878342,0.340049847,0.99577859
ADP-ribose pyrophosphatase,0.493576825,5.961421248,1.148264973,0.340147172,0.99577859
tRNA-Tyr(gta),0.54369356,3.872856233,1.146426961,0.340492599,0.99577859
Ribosomal RNA small subunit methyltransferase H,0.584270068,9.680910453,1.14307491,0.341124043,0.99577859
ATP-dependent 6-phosphofructokinase,-0.5202778,10.36217257,1.142453281,0.341241361,0.99577859
LacI family transcriptional regulator,-0.432933339,7.458740515,1.142358507,0.341259253,0.99577859
Zinc finger CHC2-type domain-containing protein,0.542017708,6.182295495,1.140333805,0.341641867,0.99577859
Global transcriptional regulator Spx,-1.106697302,10.62836967,1.139720957,0.34175782,0.99577859
L-serine deaminase,0.495859496,6.385534776,1.132108814,0.34320357,0.99577859
Putative tRNA (cytidine(34)-2'-O)-methyltransferase,-0.635725291,5.033726186,1.131632803,0.343294319,0.99577859
DNA repair protein RecO,-0.507861556,6.24345008,1.130755302,0.34346171,0.99577859
Serine acetyltransferase,-0.591163813,4.802487624,1.126150411,0.34434239,0.99577859
tRNA-Met(cat),-2.223305002,-1.169100609,1.126977167,0.344471823,0.99577859
30S ribosomal protein S13,-0.683297322,8.646088321,1.121378997,0.34525891,0.99577859
Glycerol phosphate lipoteichoic acid synthase 1,-0.933838171,8.063018083,1.120084229,0.345508322,0.99577859
3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,-0.436591486,10.14444826,1.117805139,0.34594808,0.99577859
Transcriptional regulatory protein WalR,0.569604072,7.833433882,1.117466266,0.346013547,0.99577859
L17 ribosomal protein downstream element,-1.020972943,4.382549455,1.117015806,0.34610061,0.99577859
"Serine/threonine exchange transporter, LAT family",0.464754396,6.193972813,1.109616464,0.347535887,0.99577859
Beta-galactosidase small subunit,0.965179331,4.548675914,1.106782325,0.348088292,0.99577859
"Magnesium-transporting ATPase, P-type 1",-0.946653382,8.596757951,1.099753132,0.349464726,0.99577859
tRNA-Pro(tgg),-1.302927752,1.653572189,1.09946942,0.349529133,0.99577859
FAD dependent oxidoreductase domain-containing protein,-0.695642755,5.655362225,1.098212994,0.349767536,0.99577859
D-aminoacyl-tRNA deacylase,-0.700859154,5.647637232,1.092567167,0.350881354,0.99577859
Lysine--tRNA ligase,-0.786314364,10.12512328,1.089524853,0.351484023,0.99577859
VWFA domain-containing protein,-0.566447794,8.220305975,1.089271039,0.351534382,0.99577859
Teichoic acid biosynthesis protein F,-0.888212262,6.535124165,1.08592936,0.352198528,0.99577859
Nucleoid-associated protein,-0.516098177,5.904897958,1.083089869,0.35276453,0.99577859
Ribonucleoside-diphosphate reductase,-0.818326757,8.986045307,1.07953687,0.353474919,0.99577859
"Copper transport repressor, CopY/TcrY family",0.830361056,4.79728079,1.077255895,0.353932255,0.99577859
Prephenate dehydrogenase,-0.776630374,6.595950295,1.075187445,0.354347837,0.99577859
PhoH-like protein,0.622900072,8.320173024,1.074535081,0.354479079,0.99577859
Chorismate synthase,-0.776337038,5.859120697,1.068100777,0.355777933,0.99577859
GlsB/YeaQ/YmgE family stress response membrane protein,-0.655997149,3.268016207,1.06486355,0.356434481,0.99577859
ORF6C domain-containing protein,0.727857611,4.57664985,1.064408133,0.356526985,0.99577859
Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,-1.245087544,7.384834599,1.062032984,0.357010186,0.99577859
YtxH domain-containing protein,0.404962321,8.330190114,1.061167131,0.357186613,0.99577859
"Tagatose 1,6-diphosphate aldolase",-1.539979847,3.419819317,1.060271108,0.357369379,0.99577859
Protein-export membrane protein SecG,0.537293592,7.458192395,1.059645829,0.357496952,0.99577859
4-phosphoerythronate dehydrogenase,-0.428581034,8.211512999,1.057704624,0.357893613,0.99577859
C2H2-type domain-containing protein,1.101203182,6.212927782,1.056231958,0.358195031,0.99577859
BAX inhibitor (BI)-1/YccA family protein,0.394574816,8.671051515,1.055623973,0.358319595,0.99577859
"Ornithine cyclodeaminase, mu-crystallin-like protein",-0.615611903,1.764482814,1.05292925,0.358878553,0.99577859
Cysteine desulfurase IscS,-0.432431511,6.293832948,1.05102907,0.359263381,0.99577859
GTPase Era,-0.439222175,8.149124038,1.050073106,0.359460264,0.99577859
Protein translocase subunit SecE,0.900365549,7.497019066,1.049732427,0.359530472,0.99577859
Peptide chain release factor 1,-0.541097747,7.438291148,1.047750808,0.359939309,0.99577859
Protease,-1.090843344,7.053507859,1.046524321,0.360192747,0.99577859
Amino acid/peptide transporter,-1.086360279,8.062479211,1.046122496,0.360275844,0.99577859
DUF1275 domain-containing protein,0.624167538,6.403932695,1.045947797,0.360311982,0.99577859
Adenine phosphoribosyltransferase,-0.63135961,6.605987278,1.044679942,0.360574433,0.99577859
Exodeoxyribonuclease WalJ,-0.500228321,7.205260818,1.043680529,0.360781544,0.99577859
XkdX family protein,-0.760630104,-1.755847695,1.045155259,0.360812328,0.99577859
CBS domain protein,0.532053706,9.21436185,1.039779047,0.361591995,0.99577859
VOC domain-containing protein,-0.397807956,5.877440038,1.037784359,0.362007545,0.99577859
ABC transporter ATP-binding protein,0.8479298,11.84649385,1.031716908,0.363276563,0.99577859
Peptidase,0.997840505,10.18345626,1.031521515,0.363317556,0.99577859
Bacterial ABC transporter protein EcsB,0.380069461,6.72886604,1.030795768,0.363469883,0.99577859
Cysteine synthase,-0.750052055,8.14772348,1.025732626,0.364535613,0.99577859
Peptidase U32,-0.744258522,6.331189018,1.025597936,0.364564037,0.99577859
RNA polymerase sigma factor 70 region 4 type 2 domain-containing protein,0.834875714,3.972559692,1.024146779,0.36487052,0.99577859
Cell shape-determining protein MreC,0.657945337,10.02162232,1.023868218,0.364929389,0.99577859
DUF658 domain-containing protein,0.619827461,1.286373811,1.022278157,0.365276151,0.99577859
Phage major capsid protein,-0.550147059,0.403815276,1.019199948,0.365940833,0.99577859
DUF2382 domain-containing protein,-1.639891268,7.387957983,1.018784528,0.366006787,0.99577859
"Phage prohead protease, HK97 family",-0.423331567,4.835246851,1.017945435,0.366185141,0.99577859
phage tail spike protein,-0.605567366,2.804036334,1.014846366,0.366845188,0.99577859
GTPase Obg,-0.560407832,8.132481262,1.010959212,0.367675852,0.99577859
phosphoenolpyruvate--glycerone phosphotransferase,-0.772243094,5.18176324,1.00979177,0.367925971,0.99577859
Conjugal transfer protein TraE,-0.595480592,4.441132247,1.009744552,0.367936096,0.99577859
Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,-0.390809864,7.391503137,1.009236403,0.368045055,0.99577859
NAD-dependent epimerase/dehydratase domain-containing protein,2.4449472,5.081810585,1.008660599,0.368168603,0.99577859
Small ribosomal subunit protein uS4,-0.907611015,10.22040739,1.007976936,0.368315362,0.99577859
Asparagine--tRNA ligase,-0.778742613,9.90668977,1.005752107,0.368793686,0.99577859
"Cation-transporting ATPase, E1-E2 family",1.302702631,10.48303777,1.002090718,0.369583174,0.99577859
Energy-coupling factor transporter ATP-binding protein EcfA2,-0.414510016,5.600805522,1.000084297,0.370017035,0.99577859
Fumarate reductase flavoprotein subunit,-0.396204205,6.698755407,0.99846676,0.370367439,0.99577859
"Cadmium, zinc and cobalt-transporting ATPase CadA",-0.378463149,5.958715447,0.997718901,0.370529638,0.99577859
Glycosyl hydrolase family protein,-0.454833557,2.864623017,0.997666478,0.370541053,0.99577859
Oligopeptide transport ATP-binding protein OppF,0.58355029,9.830799703,0.997197659,0.370642759,0.99577859
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,-0.777970914,9.000932305,0.996127333,0.370875229,0.99577859
Segregation and condensation protein A,0.373255268,6.86915133,0.994590886,0.371209375,0.99577859
Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,-0.622580924,6.83808614,0.990914124,0.372011091,0.99577859
M protein trans-acting positive regulator (MGA) HTH domain-containing protein,-0.582035697,3.133689258,0.989994272,0.372212157,0.99577859
Branched-chain amino acid ABC transporter permease,0.438127609,5.502153966,0.989707309,0.372274884,0.99577859
Glutathione peroxidase,0.596503214,6.997846766,0.987109111,0.372843899,0.99577859
Diaminopimelate epimerase,0.531346099,5.362357144,0.985928793,0.373102887,0.99577859
putative bifunctional oligoribonuclease and PAP phosphatase NrnA,-0.406180997,6.486104418,0.985201902,0.373262534,0.99577859
Isoprenyl transferase,0.429850531,7.291919418,0.985049294,0.373296067,0.99577859
Ribonuclease 3,0.716973917,7.74563615,0.983976377,0.373531964,0.99577859
ATP-dependent protease ATP-binding subunit HslU,-1.2089373,5.847173976,0.983894269,0.373550029,0.99577859
DUF1140 domain-containing protein,0.7211618,-1.701513274,0.981609224,0.374361773,0.99577859
Riboflavin transporter,0.721321466,9.096919569,0.976549478,0.375171919,0.99577859
Methionyl-tRNA formyltransferase,-1.016454655,6.288174154,0.974166511,0.37570073,0.99577859
Tripartite tricarboxylate transporter permease,-0.474656987,4.401693491,0.973874418,0.375765641,0.99577859
mevalonate kinase,0.82437364,8.385047941,0.970272198,0.376567687,0.99577859
Ribosome-binding ATPase YchF,-0.872451144,7.960500085,0.968771204,0.376902758,0.99577859
RNA polymerase sigma factor SigS,-0.676746817,1.241555764,0.968331361,0.377011134,0.99577859
Transcriptional regulator MraZ,0.586454874,8.364183741,0.967997372,0.377075704,0.99577859
Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,-0.650574575,0.697147329,0.967573731,0.377185551,0.99577859
Ribose-phosphate pyrophosphokinase 2,-0.585431714,9.643698794,0.966608028,0.377386554,0.99577859
Amidophosphoribosyltransferase,0.514828951,1.570752583,0.96417192,0.377938477,0.99577859
RNase H type-1 domain-containing protein,0.716318301,4.361111368,0.961706831,0.378486676,0.99577859
Ribosomal RNA small subunit methyltransferase E,-0.606932135,6.13265452,0.958693478,0.379165787,0.99577859
IS21 family transposase,-0.518028552,2.812074131,0.957362842,0.379466384,0.99577859
Pur operon repressor,-0.579315747,6.067887028,0.955625874,0.37985929,0.99577859
ZIP family metal transporter,0.43355759,7.357568053,0.955119195,0.379974046,0.99577859
Succinate dehydrogenase,1.098028216,4.125324286,0.953393564,0.380365341,0.99577859
UDP-N-acetylglucosamine kinase,0.531693693,9.968237985,0.952568612,0.380552632,0.99577859
RNA-binding protein YlxQ,-0.778176968,5.603140152,0.9513187,0.380836723,0.99577859
Uncharacterized RNA methyltransferase YljE,-0.81193429,6.843732206,0.950661206,0.38098631,0.99577859
30S ribosomal protein S1,-0.388747796,10.35700884,0.948939183,0.381378571,0.99577859
NAD(FAD)-dependent dehydrogenase,-0.528461711,8.627767125,0.947494644,0.381708162,0.99577859
Large ribosomal subunit protein uL16,-0.75240373,9.163566635,0.945268939,0.38221695,0.99577859
"6-phosphogluconate dehydrogenase, decarboxylating",-0.380444862,10.54717528,0.944655828,0.382357311,0.99577859
Phosphoribosylglycinamide formyltransferase,-0.568961589,0.958092472,0.942212163,0.382930006,0.99577859
Lipase,-0.412218436,6.873937188,0.941241419,0.383140611,0.99577859
Sulfur reduction protein DsrE,-0.440724962,6.543016816,0.941047902,0.383185088,0.99577859
ATP synthase subunit b,-0.498274284,8.638317849,0.935266388,0.384518035,0.99577859
Small ribosomal subunit protein bS16,-0.600919456,9.692713742,0.935082576,0.384560545,0.99577859
Glucosamine-6-phosphate deaminase,0.922944885,8.539176634,0.935062238,0.384565249,0.99577859
Putative major capsid protein,-0.466850581,2.596440713,0.934973049,0.384585937,0.99577859
Chaperone protein DnaJ,-0.38277154,8.18641503,0.933317665,0.384969128,0.99577859
Phage infection protein,-0.386254922,7.553063991,0.932415764,0.385178212,0.99577859
Proline--tRNA ligase,-0.821871013,9.394310798,0.92810256,0.386180847,0.99577859
8 glycosyltransferase,-1.687296487,7.363464992,0.927152394,0.386402328,0.99577859
DUF956 domain-containing protein,0.442192771,6.770478578,0.926740017,0.386498521,0.99577859
UDP-N-acetylmuramate--L-alanine ligase,-0.497334362,9.687171178,0.926103697,0.386647032,0.99577859
"PTS system, glucitol/sorbitol-specific, IIBC subunit",1.718010621,0.863100209,0.92522525,0.386882629,0.99577859
NifS/IcsS -like protein,-0.479983352,6.272136737,0.923415295,0.387275576,0.99577859
IS3 family transposase,0.393450643,6.314577272,0.920729229,0.387905346,0.99577859
MmcQ/YjbR family DNA-binding protein,0.576533062,3.965199744,0.917699228,0.388617899,0.99577859
Excisionase,0.452041816,6.281532435,0.916685686,0.388856745,0.99577859
"PTS system, mannose/fructose/sorbose family, IID component",1.527285367,3.24925976,0.916541869,0.388890709,0.99577859
tRNA-Phe(gaa),-1.51626032,4.224113556,0.914487954,0.389375559,0.99577859
"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase",-0.752336365,6.850833183,0.914017324,0.389486803,0.99577859
Shikimate kinase,-0.71251865,5.221877665,0.913782554,0.389542323,0.99577859
Prealbumin-like fold domain-containing protein,0.473724105,12.17974469,0.909913953,0.390459166,0.99577859
Phage head-tail adapter protein,-0.807085656,9.728686738,0.909742766,0.390499824,0.99577859
LXG domain-containing protein,0.362572928,7.421418597,0.909294563,0.390606308,0.99577859
"Cadmium, zinc and cobalt-transporting ATPase",-0.36203763,5.785128447,0.908010729,0.390911603,0.99577859
putative ABC transporter permease protein YqgI,0.81043386,8.258670978,0.907855975,0.390948431,0.99577859
Small ribosomal subunit protein uS11,-0.66451926,10.01169412,0.904073729,0.391850411,0.99577859
putative succinyl-diaminopimelate desuccinylase,-0.494209555,6.368199537,0.903859006,0.391901727,0.99577859
Terminase large subunit,-0.435008784,6.593607337,0.90083154,0.39262649,0.99577859
glucose 1-dehydrogenase [NAD(P)(+)],-1.288262981,5.47434038,0.900316865,0.392749935,0.99577859
Isoaspartyl dipeptidase,-0.7015969,6.33932329,0.899839233,0.392864553,0.99577859
Glutamine synthetase,0.509933961,10.11566942,0.898078287,0.393287638,0.99577859
Threonine--tRNA ligase 1,-0.724270863,9.357730885,0.896083892,0.393767773,0.99577859
Polymerase,0.378471534,9.339726695,0.894008658,0.394268456,0.99577859
Addiction module toxin RelE,0.404788056,7.403067616,0.893887467,0.39429773,0.99577859
DUF72 family protein,0.541304474,7.306336628,0.893477711,0.394396735,0.99577859
"Control of competence regulator ComK, YlbF/YmcA",0.594523124,5.950023502,0.892494781,0.394634406,0.99577859
Glycerol-3-phosphate acyltransferase,0.376255859,7.456402543,0.892378362,0.394662571,0.99577859
Phosphatidylglycerol lysyltransferase,0.377399857,8.873873521,0.891898468,0.394778714,0.99577859
Holliday junction resolvase RecU,0.462592763,7.413407344,0.890380502,0.395146482,0.99577859
Sucrose-6-phosphate hydrolase,-0.387780823,3.893299746,0.888667139,0.395562319,0.99577859
NMT1/THI5-like protein,-0.649423992,4.04019317,0.886125575,0.396180557,0.99577859
PTS permease,1.631545794,2.572176445,0.885043475,0.396447966,0.99577859
YkuJ,0.366918005,10.30534701,0.884702703,0.396527404,0.99577859
Ferrous iron transport protein B,-0.696104987,3.852494876,0.884469077,0.396584416,0.99577859
Ferric uptake regulation protein,0.659548931,8.693856436,0.881812547,0.397233576,0.99577859
Ribosomal RNA small subunit methyltransferase A,-0.576383619,7.880273235,0.880747274,0.397494417,0.99577859
DNA-directed RNA polymerase subunit alpha,-0.767501148,10.6227601,0.879226928,0.397867207,0.99577859
DNA topoisomerase (ATP-hydrolyzing),-0.699871916,8.336218518,0.879058455,0.397908554,0.99577859
Bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,-0.405907782,6.894271623,0.876840037,0.398453711,0.99577859
16S rRNA (cytosine(967)-C(5))-methyltransferase,-0.880675504,7.534659424,0.873810337,0.39920035,0.99577859
SHOCT domain-containing protein,-0.410195042,5.402501183,0.873348607,0.399314355,0.99577859
Acryloyl-CoA reductase,0.41921229,6.563895094,0.871074848,0.399876594,0.99577859
MPN domain-containing protein,-0.569619433,3.590369445,0.870910583,0.399917281,0.99577859
Putative glycosyltransferase EpsE,-1.262112645,9.095497283,0.869780614,0.400197244,0.99577859
Large ribosomal subunit protein uL29,-0.659546558,8.211886214,0.868443621,0.400528963,0.99577859
Large ribosomal subunit protein bL17,-0.763152694,9.673434667,0.867663947,0.400722628,0.99577859
Arabinose-proton symporter,0.618350602,4.342912749,0.86612726,0.401104819,0.99577859
CopG family transcriptional regulator,0.459981341,5.077309405,0.864052604,0.401621814,0.99577859
DUF1294 domain-containing protein,0.40406802,3.534414973,0.863572936,0.401741527,0.99577859
Nicotinate phosphoribosyltransferase,-0.343077786,8.145079884,0.855727388,0.403708269,0.99577859
DUF2264 domain-containing protein,-0.451120018,2.833239648,0.854077257,0.40412413,0.99577859
THF riboswitch,-0.338508623,8.742694437,0.85378699,0.404197313,0.99577859
MFS superfamily major facilitator transporter,0.58559383,6.979137579,0.853683423,0.404223444,0.99577859
Large ribosomal subunit protein uL13,-0.464229689,10.72326992,0.853299857,0.40432025,0.99577859
NlpC/P60 domain-containing protein,0.384102607,10.39580966,0.852628949,0.404489675,0.99577859
tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,-0.416097012,3.477062394,0.852142958,0.404612496,0.99577859
L-serine dehydratase,0.369712401,6.194860196,0.851102844,0.404875529,0.99577859
Guanylate kinase,0.607804221,9.455154607,0.847675135,0.405744546,0.99577859
Septum formation initiator,0.573150015,8.595842316,0.845555309,0.406283627,0.99577859
Ribbon-helix-helix protein CopG domain-containing protein,-0.543135174,6.41697124,0.844990915,0.406427369,0.99577859
Beta-glucosidase,-0.378130057,7.54337046,0.844638128,0.406517263,0.99577859
"Molybdate ABC transporter, permease protein, modB",0.730841342,2.64959893,0.844239265,0.406619002,0.99577859
Glucokinase,-0.52228334,7.861576272,0.843226103,0.406877415,0.99577859
Phosphoribosylaminoimidazole-succinocarboxamide synthase,1.661850034,4.591780651,0.838053863,0.408201487,0.99577859
Large ribosomal subunit protein uL14,-0.622280966,9.616957753,0.835855144,0.408766648,0.99577859
Putative cadmium-transporting ATPase,-0.401003485,1.258443221,0.832223442,0.409710411,0.99577859
Aminopeptidase P family protein,0.349414143,9.013592363,0.828273342,0.410726176,0.99577859
Leucine--tRNA ligase,-0.534348418,9.653358594,0.828138678,0.410761131,0.99577859
Ferredoxin--NADP reductase 2,-0.503916799,4.583386838,0.825784777,0.411372986,0.99577859
Pyridine nucleotide-disulfide oxidoreductase,-0.399763034,7.131301813,0.824627616,0.411674357,0.99577859
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),0.503614667,12.4532279,0.822993487,0.412100623,0.99577859
GTP cyclohydrolase 1 type 2-like protein,0.332440973,8.657419954,0.818355655,0.41331469,0.99577859
Glutamine transport system substrate-binding protein,0.458333589,6.799418229,0.814687504,0.414279429,0.99577859
V-type ATP synthase subunit C,0.340290973,8.509322401,0.812456256,0.414868218,0.99577859
Methionine import system permease protein metI,-0.425105466,5.495775165,0.81166463,0.415077473,0.99577859
Phospho-sugar mutase,-0.346670459,9.949959045,0.807432734,0.416199309,0.99577859
Type III secretion system protein PrgN,0.878776051,6.163726639,0.805670472,0.416668063,0.99577859
Heavy metal transporting ATPase,-0.463965259,8.374017098,0.804737146,0.416916705,0.99577859
Heavy metal-binding domain-containing protein,-0.471880373,4.230972952,0.80432161,0.417027496,0.99577859
Citrate/malate-proton symporter,-0.469057274,1.278813283,0.802345998,0.417562005,0.99577859
Amino acid (Glutamine) ABC transporter permease,-0.672859485,2.505534672,0.801865771,0.41768338,0.99577859
Cell division protein FtsX,-0.389966392,8.217648278,0.799508418,0.418314571,0.99577859
"Toxin-antitoxin system, antitoxin component, ribbon-helix-helix domain protein",-0.580066964,2.027189324,0.798556287,0.418571824,0.99577859
