"Table S4. Quasi-likelihood F-tests for VRE0008 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
NOXase,-0.713669846,3.221869116,8.776333461,0.029645882,0.129271335
Pheromone cAD1 lipoprotein,-1.072327416,10.59760904,8.761070267,0.029737029,0.129271335
Flagellar M-ring protein FliF,-0.588577172,7.754514414,8.755632224,0.029769604,0.129271335
aspartate--tRNA ligase,0.561013309,8.389889554,8.736657807,0.029883654,0.129271335
PBECR3 domain-containing protein,0.42038861,6.422691156,8.729130443,0.029929068,0.129271335
Thymosin beta,-1.100523073,8.510977587,8.728100508,0.029935289,0.129271335
PEP phosphonomutase,-0.665163409,5.529092568,8.695934133,0.030130495,0.129860673
YycI domain-containing protein,0.503157884,7.941017016,8.671828757,0.030277944,0.12999159
PTS sorbitol transporter subunit IIA,-0.641687626,2.237976572,8.671828718,0.030278457,0.12999159
DUF2961 domain-containing protein,1.597729842,8.495688836,8.65884576,0.030357775,0.130034688
DeoR/GlpR transcriptional regulator,0.521180047,3.999540731,8.651007007,0.030406121,0.130034688
DNA replication/repair protein RecF,-0.502440919,9.123234109,8.619988004,0.030598465,0.130385135
Fructosamine deglycase,0.758592364,10.98155006,8.607190655,0.030678315,0.130385135
chromosome segregation protein SMC,0.640086635,9.723815078,8.598911619,0.030730127,0.130385135
TraB protein,-0.524374965,4.623222305,8.593600911,0.030763429,0.130385135
RAGATH-35 RNA,-0.578134754,4.055348912,8.574379365,0.030884377,0.130385135
ATPase for chromosome partitioning,0.571067943,8.662589147,8.568953909,0.030918629,0.130385135
UPF0346 protein AWT83_13835,0.450870027,5.044954578,8.563648823,0.030952179,0.130385135
3-hydroxy-3-methylglutaryl-CoA lyase,-0.589776758,7.306132788,8.562439056,0.030959835,0.130385135
GTPase ObgE,0.534643471,6.953491148,8.55286208,0.031020548,0.130392457
CPBP family intramembrane metalloprotease,-0.678126109,5.299405324,8.463309391,0.031596367,0.132560851
response regulator YycF,-0.423755422,7.360626078,8.418061684,0.031892973,0.13344109
Metal-dependent phosphohydrolase,0.453417335,8.908945693,8.412926103,0.031926882,0.13344109
NADH oxidase,0.612165344,12.25963716,8.325011271,0.032515231,0.135579079
DUF4145 domain-containing protein,-0.610262095,6.937805675,8.318257136,0.032561054,0.135579079
L-threonylcarbamoyladenylate synthase,0.809357854,6.090879285,8.288334634,0.032765146,0.135624606
DNA-binding ferritin-like protein (oxidative damage protectant),-0.466480178,4.872416087,8.276268176,0.032847953,0.135624606
Beta-ketoacyl-[acyl-carrier-protein] synthase III,0.491804674,9.807654184,8.27385923,0.032864517,0.135624606
SpoU-sub-bind domain-containing protein,-0.537508606,5.517191879,8.271776819,0.032878848,0.135624606
GyrI-like domain-containing protein,-0.585390714,6.081511892,8.265182723,0.032924282,0.135624606
F0F1 ATP synthase subunit delta,0.465936011,8.577908278,8.262899538,0.032940033,0.135624606
S1 domain-containing RNA-binding protein,-0.430910335,8.344358331,8.248426285,0.033040129,0.135684217
multidrug efflux ABC transporter subunit EfrB,0.656779068,7.430357542,8.237623972,0.033115114,0.135684217
zinc-ribbon-2 domain-containing protein,-0.609644099,1.035984874,8.223285904,0.033216764,0.135684217
Peptidase M16,-0.525776494,8.500854503,8.217394319,0.033256177,0.135684217
DEAD-box ATP-dependent RNA helicase CshB,0.689632864,7.77710026,8.21665464,0.03326135,0.135684217
Niacin transporter NiaX,-0.515097926,2.559145121,8.205159955,0.033341938,0.135762476
N-acetylglucosamine-6-phosphate deacetylase,-0.439479142,8.952087456,8.185914388,0.033477357,0.135992847
CopY/TcrY family copper transport repressor,0.518524977,4.707162842,8.174405663,0.033558732,0.135992847
sugar ABC transporter permease,0.757322504,1.914356766,8.17105342,0.033583037,0.135992847
LysR family transcriptional regulator,0.520432074,8.243068273,8.143550997,0.033778252,0.136330653
serine O-acetyltransferase,0.500201548,5.14848879,8.141938878,0.033789777,0.136330653
5-dehydro-4-deoxy-D-glucuronate isomerase,-0.728132942,8.039326766,8.121626866,0.033935452,0.136466588
DUF1797 domain-containing protein,-0.686703726,8.442462779,8.120034124,0.033946912,0.136466588
GMP reductase,-0.804486456,6.211707277,8.090846689,0.034157877,0.13684301
thymidylate synthase,0.658340242,6.875205813,8.082382001,0.0342194,0.13684301
DUF951 domain-containing protein,0.458183906,4.740601598,8.081444508,0.034226225,0.13684301
TGc domain-containing protein,0.478216245,3.774348059,8.067209779,0.034330069,0.137010438
Zinc ABC transporter substrate-binding protein,-0.437929414,3.979253649,8.054290239,0.034424694,0.137140536
"Fructose-1,6-bisphosphate aldolase",0.600719197,4.742742539,8.012131756,0.034736005,0.138052954
Rhomboid family intramembrane serine protease,-0.469227615,4.600648571,8.006403834,0.034778605,0.138052954
type I pantothenate kinase,-0.539664889,7.70233313,7.976966627,0.034998684,0.138504572
DUF3042 domain-containing protein,0.564148064,6.80610366,7.974439939,0.035017664,0.138504572
50S ribosomal protein L5,-0.99679445,9.554622575,7.957451397,0.035145656,0.13869142
Listeria sRNA rli38,0.398909576,6.400669897,7.95153799,0.03519036,0.13869142
PH domain-containing protein,-0.62549166,0.822967639,7.869295674,0.035822718,0.140932437
Phage infection protein,0.451008499,7.893700768,7.839254702,0.036054449,0.141592163
Stage 0 sporulation A-like protein,-0.606051801,1.54886379,7.764040915,0.036650558,0.143677985
Succinate dehydrogenase,-0.624594844,3.547757995,7.748388234,0.036775524,0.143912714
O-Antigen polymerase,0.819291837,6.892591637,7.681463349,0.037319498,0.145618748
"ABC transporter, permease protein",0.875657569,7.845627419,7.678577482,0.037343207,0.145618748
Putative licABCH operon regulator,0.924355085,9.026907407,7.670097009,0.037412999,0.145634052
QueT transporter family protein,-0.386673567,6.440119673,7.657190529,0.037519567,0.145792201
PTS fructose transporter subunit IIBC,0.841414303,4.028372443,7.633512739,0.037716179,0.146299073
YlbF family regulator,0.412642802,5.527256974,7.568507114,0.038263383,0.148161717
NAD(P)-dependent oxidoreductase,0.446719246,6.977247842,7.538991874,0.038515495,0.148877201
glmS glucosamine-6-phosphate activated ribozyme,1.150032299,6.062892697,7.514372659,0.038727561,0.149435667
"ABC-type transport system involved in lipoprotein release, permease component LolC",-0.393474694,7.342869136,7.495853541,0.038888156,0.149676424
SUa-2TM domain-containing protein,-0.482123023,4.21523533,7.491580434,0.038925348,0.149676424
"Potassium uptake protein, TrkH family",0.420402093,9.062403189,7.461873673,0.039185247,0.150414204
Na+/H+ antiporter NhaC,0.466110822,7.518319837,7.453287795,0.039260816,0.15044309
"ABC-type lipoprotein export system, ATPase component",-0.525233388,4.084964859,7.426024904,0.039502126,0.150984364
Cell wall anchor protein,-0.426541479,8.098977702,7.421093009,0.039545993,0.150984364
"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA",-0.554746526,4.260161372,7.414255664,0.039606934,0.150984364
tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,-0.602119981,6.018199018,7.401182118,0.039723809,0.151169265
pyruvate formate-lyase-activating protein,-0.669675721,8.783265893,7.386019527,0.039859968,0.151426787
D-alanine--poly(phosphoribitol) ligase subunit DltC,-0.748506964,3.425954182,7.291372497,0.0407248,0.154446883
Bacterial transferase hexapeptide repeat protein,-0.449413841,4.597545706,7.281675004,0.040814868,0.154523414
Sucrose operon repressor ScrR,-0.458362675,6.420908922,7.264366146,0.040976343,0.154869564
DUF4261 domain-containing protein,-0.590940638,7.765057302,7.239010975,0.041214499,0.155503853
Lysozyme,-0.528579555,3.03052015,7.228672993,0.041312181,0.15560687
Transcriptional repressor,-0.423169807,6.876391748,7.170164401,0.041870982,0.157288748
Holliday junction branch migration DNA helicase RuvB,-0.452243407,7.205936891,7.167054168,0.041900982,0.157288748
bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK,0.647431583,8.411827214,7.150531432,0.042060862,0.1573755
Ribosome-binding ATPase YchF,0.447919657,8.332839278,7.149955591,0.04206645,0.1573755
DNA polymerase III subunit delta,-0.423973625,5.701223448,7.134014433,0.042221539,0.157688891
pyruvate carboxylase,0.482870517,10.48850615,7.121254415,0.042346254,0.157703596
50S ribosomal protein L24,-1.004730354,8.641104749,7.119021628,0.04236813,0.157703596
nicotinate phosphoribosyltransferase,0.456848925,7.994184554,7.07613028,0.042791441,0.159011556
Diacylglycerol kinase,-0.385834486,7.871639168,7.035172862,0.043201194,0.160120423
ADP-ribose pyrophosphatase,-0.428830664,4.721724004,7.031849232,0.043234687,0.160120423
Oxidase,-0.672992842,1.915988298,7.017148114,0.043383906,0.160404376
DUF1893 domain-containing protein,-0.387882161,5.299584522,7.001312355,0.043544094,0.160592684
Sugar-specific transcriptional regulator TrmB,-0.541985044,4.833294207,6.997521611,0.04358272,0.160592684
ATP-dependent chaperone ClpB,0.454426512,10.46426797,6.98386425,0.043722271,0.160592684
MATE efflux family protein,-0.43194281,7.602882324,6.972277729,0.043841154,0.160592684
YbaB/EbfC family nucleoid-associated protein,0.376445369,5.920434056,6.966380131,0.04390184,0.160592684
IDEAL domain-containing protein,0.651488212,5.611380389,6.966256944,0.043903109,0.160592684
DUF4811 domain-containing protein,-0.421784692,5.622893095,6.962360173,0.043943272,0.160592684
LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA,-0.551606905,2.086504201,6.94479078,0.044125612,0.160992949
Pbp5,0.522970661,11.53175739,6.932159021,0.044256293,0.16116401
Sugar isomerase,0.494222198,3.83897574,6.926214331,0.044318281,0.16116401
Conjugal transfer protein,0.488698427,2.125709786,6.909983114,0.044488194,0.161516249
DNA-directed RNA polymerase subunit delta,-0.41052689,8.230341772,6.887849483,0.044721204,0.162096034
CAP-assoc-N domain-containing protein,0.483482901,8.376149886,6.868534728,0.044925995,0.16257181
tRNA pseudouridine(38-40) synthase TruA,0.429274614,5.819516921,6.843638137,0.045191908,0.163266843
peptidase T,-0.484636394,9.00509789,6.831641712,0.045320822,0.163322508
Xylulose-5-phosphate phosphoketolase,0.42389165,7.798217223,6.828464373,0.045355052,0.163322508
Phosphohydrolase,0.480015918,5.402044342,6.80369977,0.045623087,0.163815595
Iron-sulfur cluster biosynthesis protein,0.371052258,6.723523812,6.802128607,0.045640166,0.163815595
Pyridoxal phosphate homeostasis protein,0.489072349,9.078689093,6.772291298,0.045966221,0.164497527
DUF3098 domain-containing protein,-0.411662386,4.920472198,6.771132082,0.045978956,0.164497527
PTS system lactose/cellobiose-specific IIA component,-1.436550614,5.680593736,6.756145701,0.046144015,0.164821353
Gx transporter family protein,-0.37062316,5.378812517,6.741366885,0.0463076,0.165138876
Cation diffusion facilitator family transporter,0.529765259,6.258176081,6.723190274,0.046509907,0.165415969
ABC-F type ribosomal protection protein,0.394154048,7.869560955,6.720949586,0.046534931,0.165415969
DUF1820 domain-containing protein,0.469949485,3.059908641,6.709911077,0.046658506,0.165589017
30S ribosomal protein S7,-0.899624581,9.585307039,6.693547608,0.04684249,0.165975552
glutamate--tRNA ligase,0.434078052,10.0935544,6.671204574,0.047095372,0.16660459
UDP-N-acetylglucosamine kinase,0.632344688,7.055211566,6.644888881,0.047395671,0.167173565
50S ribosomal protein L10,-0.769872731,10.911433,6.643863258,0.047407429,0.167173565
peptide chain release factor N(5)-glutamine methyltransferase,0.674099068,4.831304914,6.628212351,0.047587361,0.167515196
dihydroorotate dehydrogenase electron transfer subunit,-0.900281617,6.400244234,6.617599076,0.047709919,0.167515196
Sucrose-6-phosphate hydrolase,-0.422181025,5.253593962,6.615725354,0.047731603,0.167515196
TIR domain-containing protein,-0.827722507,0.02947994,6.593930118,0.047991753,0.168161278
50S ribosomal protein L14,-0.966125027,9.361982236,6.567257483,0.048297296,0.168804682
SdpI family protein,-0.482527608,4.918981476,6.564643681,0.048328071,0.168804682
YitT family protein,-0.44915725,4.213966254,6.536664916,0.048659196,0.169437176
Ribonuclease HI,-0.438462884,3.399179828,6.527208433,0.048771838,0.169437176
Cell division protein DivIB,0.613692534,8.707858185,6.524439408,0.048804873,0.169437176
PSP1 C-terminal domain-containing protein,-0.384330328,6.980057743,6.519902313,0.048859093,0.169437176
DNA-directed RNA polymerase subunit alpha,-0.551964429,10.24211133,6.517125398,0.048892319,0.169437176
alanine racemase,-0.401640519,6.916320268,6.497306219,0.049130383,0.169995737
V-type ATP synthase subunit F,0.38403533,7.873078864,6.458320084,0.049603425,0.171364331
gluconate 5-dehydrogenase,-0.648869416,8.543078601,6.443984524,0.049778968,0.171660477
Putative isomerase YddE,-0.496811137,2.431402959,6.43351912,0.04990773,0.171660477
DUF1906 domain-containing protein,0.982451093,12.98915561,6.432350767,0.049922066,0.171660477
Phenylalanine--tRNA ligase beta subunit,-0.366917275,6.264704364,6.379367552,0.050581097,0.173656531
tRNA-Gly(ccc),-0.782321901,-0.635286621,6.374023043,0.050664573,0.173673444
fibronectin-binding protein EfbA,0.400652183,8.589605666,6.360696591,0.050816234,0.173923675
Mu prophage protein,-0.694825915,4.408972671,6.344999612,0.051015107,0.174136759
arginine-ornithine antiporter,0.471836507,3.26479167,6.343355443,0.051036011,0.174136759
copper chaperone CopZ,0.519777918,3.617355457,6.333280404,0.051164295,0.174161211
HTH-type transcriptional regulator CynR,-0.407237587,5.571161718,6.328585723,0.05122422,0.174161211
UDP-N-acetylmuramate dehydrogenase,0.358473908,7.802579736,6.324263214,0.051279488,0.174161211
DNA protection during starvation protein 1,0.755606872,12.67727234,6.287287206,0.051755702,0.175041419
Ribosomal protein L21 leader,-0.674786351,5.257455957,6.282769314,0.051814313,0.175041419
DUF443 domain-containing protein,-0.514861056,2.482929996,6.281280789,0.051833701,0.175041419
UvrD-like helicase ATP-binding domain-containing protein,0.499180017,7.569947857,6.279611842,0.051855328,0.175041419
Peptidoglycan glycosyltransferase,0.663386728,8.52233625,6.271123792,0.051965815,0.175146976
IS200/IS605 family ISEfa4 transposase,-0.37059434,7.611016171,6.258245609,0.052134076,0.175446641
isoprenyl transferase,-0.402828384,5.461277574,6.24493372,0.052308808,0.175767133
DUF2798 domain-containing protein,-0.376449758,4.477379823,6.223522209,0.052591578,0.176449134
DNA topoisomerase IV subunit A,0.529042566,9.552751463,6.213197582,0.05272869,0.176641112
Spermidine/putrescine import ATP-binding protein PotA,0.351893932,5.620224903,6.20176729,0.052881074,0.176883591
Prophage-tail domain-containing protein,-0.863338008,5.839639484,6.184346775,0.053114503,0.17739602
Amino acid ABC transporter substrate-binding protein,0.592782534,4.982901056,6.178254722,0.053196475,0.177401819
DNA-binding helix-turn-helix protein,-0.816475707,-0.805693329,6.173532612,0.053281695,0.177418416
Sulfatase domain-containing protein,0.38201591,7.709488352,6.161108025,0.053428143,0.177638534
ArpU family phage transcriptional regulator,-0.702509468,4.912156294,6.143501728,0.053667497,0.178105719
bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,-0.398883922,8.380986154,6.138939059,0.053729767,0.178105719
Lactoylglutathione lyase,0.461715949,10.11385816,6.107018731,0.054168265,0.178847656
Acyl-transf-3 domain-containing protein,-0.582077642,7.357770075,6.102166676,0.054235357,0.178847656
"Putative pyruvate, phosphate dikinase regulatory protein",-0.371289237,6.268744795,6.102022705,0.05423735,0.178847656
UPF0342 protein A5810_000724,-0.378048234,9.041429935,6.094165836,0.054346243,0.178847656
PHB domain-containing protein,-0.353680017,5.984489374,6.093316111,0.054358039,0.178847656
50S ribosomal protein L13,-0.517336181,9.001422713,6.047545876,0.054998719,0.180518007
Acylneuraminate cytidylyltransferase family protein,-0.498139293,6.517712114,6.045400529,0.055029008,0.180518007
YjjG family noncanonical pyrimidine nucleotidase,-0.486220725,7.42417255,6.033147306,0.055202452,0.180818697
aldolase catalytic domain-containing protein,-0.526584803,4.897748552,6.013898574,0.055476468,0.181372501
CarD family transcriptional regulator,-0.466677562,4.428398254,6.009763156,0.055535587,0.181372501
DUF2975 domain-containing protein,-0.424633607,3.02855107,5.981657596,0.055939739,0.182422955
50S ribosomal protein L25/general stress protein Ctc,0.610836391,11.16795736,5.972534233,0.056071782,0.182584257
transcription-repair coupling factor,0.413509898,8.80041809,5.959690646,0.056258447,0.182624392
VanZ/RDD domain-containing protein,0.451701252,6.239046758,5.952696289,0.056360467,0.182624392
DUF218 domain-containing protein,0.373655654,8.376720147,5.951486825,0.056378134,0.182624392
Relaxase,-0.489693004,2.90837953,5.949001234,0.0564145,0.182624392
nicotinate-nucleotide adenylyltransferase,0.695649239,7.945695871,5.935808389,0.056607864,0.182982439
type 2 isopentenyl-diphosphate Delta-isomerase,0.729760661,7.381570182,5.908305058,0.057014038,0.183963546
magnesium-translocating P-type ATPase,0.359130784,5.953822334,5.90401315,0.05707779,0.183963546
phosphoenolpyruvate--glycerone phosphotransferase,0.623373326,6.818765564,5.89228466,0.057252513,0.184159469
Cyclic-di-AMP receptor,0.368599327,6.546800284,5.888760303,0.057305163,0.184159469
NlpC/P60 domain-containing protein,0.519969738,11.88356765,5.8779234,0.057467479,0.184413057
Biotin transporter,-0.568615578,2.345971941,5.856670952,0.057788327,0.184965215
ribonuclease III,-0.357787344,6.519434924,5.855403042,0.057806858,0.184965215
methionyl-tRNA formyltransferase,0.700872398,6.905786137,5.833441441,0.058140527,0.185764023
type I glyceraldehyde-3-phosphate dehydrogenase,-0.626131524,12.76434035,5.808551235,0.058521961,0.186553005
DUF1021 domain-containing protein,-0.36033166,7.916000086,5.806327304,0.058556212,0.186553005
glutamine--fructose-6-phosphate transaminase (isomerizing),0.949954986,9.059890181,5.78790514,0.058841021,0.187190643
Zinc-type alcohol dehydrogenase-like protein,0.363778093,6.342013346,5.773359745,0.059067267,0.187593378
RNA polymerase sigma-70 factor,0.624802126,2.405770593,5.768876227,0.059137306,0.187593378
Purine riboswitch,-0.452983748,2.328879133,5.754182149,0.059367796,0.188054724
Alginate biosynthesis transcriptional regulatory protein AlgB,0.402232729,7.988638614,5.743317211,0.059538438,0.188325447
phage head closure protein,-1.01540493,2.197142575,5.735059365,0.059669582,0.188463145
GDSL family lipase,-0.372915408,4.585714927,5.729781604,0.059752449,0.188463145
"mannose-6-phosphate isomerase, class I",-0.408796696,8.630074551,5.72015719,0.059905271,0.188676003
Phosphatidate cytidylyltransferase,0.516450044,6.204447024,5.697353616,0.06026956,0.189476829
DUF5348 domain-containing protein,-0.438435349,4.140003216,5.693531343,0.060330931,0.189476829
Prophage pi2 protein 34,-1.244543217,4.463938762,5.687332939,0.06043063,0.189520742
histidine--tRNA ligase,0.412331879,6.654231257,5.679365028,0.060559124,0.189654706
Crp/Fnr family transcriptional regulator,-0.387199091,6.819441724,5.670139408,0.060708386,0.189853242
GTP diphosphokinase,0.390858878,8.496559999,5.635629531,0.061271322,0.191256864
ECF-type transporter transmembrane protein EcfT,-0.537101653,1.105090994,5.632176162,0.06133022,0.191256864
Methylmalonate-semialdehyde dehydrogenase (CoA acylating),-0.613270249,4.283863595,5.611012614,0.061677368,0.192068535
TetR/AcrR family transcriptional regulator,-0.472470698,7.632684629,5.574405499,0.062288183,0.193697852
Cof family protein,0.364665427,5.828253277,5.567740334,0.062400309,0.193773995
Fur family transcriptional regulator,0.363426911,6.337468969,5.547205791,0.06274754,0.194054139
ROK family sugar kinase,0.436980467,5.521356203,5.544862323,0.06278734,0.194054139
putative succinyl-diaminopimelate desuccinylase,0.377663618,6.940351859,5.542719704,0.062823759,0.194054139
DUF5094 domain-containing protein,-1.082500904,2.275575219,5.537804197,0.062908136,0.194054139
PTS system lactose/cellobiose-specific transporter subunit IIB,-1.489349823,5.905174668,5.536516802,0.062929361,0.194054139
2-dehydropantoate 2-reductase,-0.584312969,9.02278144,5.521105591,0.063192808,0.194595124
elongation factor Tu,-0.635617975,13.99373112,5.509948232,0.063384505,0.194913965
Transporter,-0.345706092,5.995323049,5.501629268,0.063527967,0.195083797
DNA replication protein,0.415371666,3.297558516,5.477932031,0.063939148,0.195835172
LPD25 domain-containing protein,0.344208179,4.824175057,5.477320501,0.063949794,0.195835172
HD domain-containing protein,0.383178172,8.299593198,5.451242411,0.064406703,0.196961577
GroES-like protein,0.467897352,7.472599044,5.430432696,0.0647746,0.197779205
Nramp family divalent metal transporter,0.33786959,8.039740151,5.422280655,0.064919525,0.197779205
co-chaperone GroES,-0.360642832,6.70105455,5.420994854,0.064942425,0.197779205
Alkylphosphonate utilization protein,0.367305749,7.654463081,5.410378706,0.065131933,0.1980835
Aspartate racemase,0.713470143,9.187212901,5.384391662,0.065599114,0.199230275
Flavodoxin family protein,-0.520058881,6.490462381,5.371721853,0.065828591,0.19965297
4-hydroxybenzoate octaprenyltransferase,-0.37687076,3.992814492,5.362454293,0.065997168,0.199890052
DUF4430 domain-containing protein,0.452836784,4.582042322,5.346862989,0.066282127,0.200240878
ATP-dependent protease ATPase subunit HslU,0.943135296,8.07287982,5.342227608,0.066367179,0.200240878
IS30 family IS6770 transposase,-0.386854575,4.153804006,5.339092792,0.066424792,0.200240878
TPM-phosphatase domain-containing protein,0.422374891,9.190444007,5.336349194,0.066475262,0.200240878
preprotein translocase subunit SecG,-0.392985754,6.306502235,5.328853958,0.066613432,0.200384079
ECF subfamily RNA polymerase sigma-70 region 2,-0.370151729,3.326379965,5.31081308,0.066947679,0.201003075
Zn-finger containing protein,-0.370822273,4.506500102,5.303347248,0.067086667,0.201003075
glycerate kinase,-0.398372499,3.187083048,5.299402183,0.067160301,0.201003075
prephenate dehydrogenase,0.435800407,5.709182193,5.298194047,0.067182846,0.201003075
PTS system mannose/fructose/sorbose-specific IIC component,0.654175508,3.568107932,5.292611515,0.06728727,0.20103867
type Z 30S ribosomal protein S14,-0.879346617,7.920885636,5.287844673,0.067376596,0.20103867
tRNA-Phe(gaa),0.535068385,2.952850929,5.266848847,0.067772103,0.201641218
ribosome assembly RNA-binding protein YhbY,0.658772905,7.210048622,5.266469386,0.067779255,0.201641218
Diacylglycerol kinase family protein,0.324980243,7.011457064,5.262619682,0.067852133,0.201641218
Cell surface protein,-0.462259877,4.334658441,5.242672338,0.068231526,0.202199508
DUF4231 domain-containing protein,-0.402194436,3.036463645,5.237977153,0.068321282,0.202199508
acidPPc domain-containing protein,0.478363471,4.499159411,5.237906219,0.068322614,0.202199508
SMI1/KNR4 family protein,-0.672096775,0.111256304,5.233897378,0.068405804,0.202199508
5'-methylthioadenosine/adenosylhomocysteine nucleosidase,-0.365011728,7.086334531,5.206543283,0.068926301,0.203244288
cell division protein FtsZ,0.590621128,10.5620102,5.205675542,0.06894311,0.203244288
phosphocarrier protein HPr,-0.948725571,10.43237368,5.189674622,0.0692541,0.203889235
"Acetyltransferase, GNAT family",0.353075057,8.324977298,5.176006063,0.069521322,0.204247906
histidine kinase,0.380882092,10.23142328,5.173998922,0.069560684,0.204247906
Plasmid recombination enzyme,-0.590886966,1.942139771,5.164141637,0.069755202,0.204420032
Aminotransferase,0.374895767,7.884575095,5.160822627,0.069819863,0.204420032
tRNA-Arg(acg),-0.60453184,0.412928285,5.157135336,0.069896673,0.204420032
aminoglycoside 6'-N-acetyltransferase,0.367238419,3.80169437,5.145985395,0.070113347,0.204782841
Peptidase M20 domain-containing protein 2,0.525312345,3.79554443,5.121998352,0.070591484,0.205907348
UDP-glucose 4-epimerase GalE,-1.678744793,8.554934237,5.10831746,0.070866233,0.206436416
YxeA family protein,-0.375210053,8.11854035,5.096974415,0.071095179,0.206830844
"DNA-binding transcriptional regulator, MarR family",0.459402145,9.023691641,5.084951203,0.071338991,0.207267424
Tagatose-6-phosphate kinase,0.702849658,3.032464152,5.077364314,0.071493471,0.207443655
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,0.47627158,7.837658099,5.065235086,0.071741355,0.207546176
phosphopantothenoylcysteine decarboxylase,0.34549924,6.325316144,5.063787143,0.07177103,0.207546176
PTS sugar transporter subunit IIC,0.454689582,3.192560477,5.061867687,0.071810414,0.207546176
IS982 family transposase,-0.340362837,4.763461745,5.044035695,0.07217756,0.208334967
N5-carboxyaminoimidazole ribonucleotide mutase,-1.065220971,3.333586273,5.029074944,0.07248767,0.208957285
cardiolipin synthase Cls,-0.442743458,6.596610498,5.023385423,0.072606056,0.209026029
Ribonuclease J,0.365548696,9.938758837,5.010795142,0.072869065,0.209253171
MBL fold metallo-hydrolase,0.33279288,8.645456896,5.00625239,0.072964291,0.209253171
Streptothricin hydrolase,-0.527572704,2.963732584,5.006035272,0.072968881,0.209253171
mRNA interferase,-0.361759762,3.90591685,4.986562618,0.073379072,0.209539451
Amino acid permease family protein,-0.461325655,7.934169466,4.983645729,0.073440791,0.209539451
excinuclease ABC subunit UvrC,0.329764963,7.074841618,4.982148919,0.073472495,0.209539451
SDR family NAD(P)-dependent oxidoreductase,0.427203658,2.124011982,4.973412074,0.073658018,0.209539451
Helicase,0.349850145,4.081557432,4.970308769,0.073723966,0.209539451
TrsD,-0.594160965,1.028641549,4.970315006,0.073726179,0.209539451
"Sugar isomerase, AgaS family",-0.454688421,5.721249338,4.969926063,0.073732109,0.209539451
Metallophos domain-containing protein,0.433872812,7.849368079,4.959831215,0.073947497,0.209881792
DUF2178 domain-containing protein,-0.371479863,3.366042852,4.94852971,0.074189701,0.210162815
methionine adenosyltransferase,-0.393098233,8.036885775,4.946345626,0.074236616,0.210162815
LysM domain lipoprotein,-0.624800118,8.271565713,4.937924943,0.074417956,0.210406777
GramPos-pilinD1 domain-containing protein,-0.351560537,3.837776659,4.932473774,0.074535688,0.210470506
NodB-like y domain-containing protein,0.358380141,8.877319682,4.926634428,0.074662076,0.210558482
glucose-6-phosphate dehydrogenase,0.381120461,9.254180573,4.914874425,0.074917548,0.211009806
Mechanosensitive ion channel family protein,-0.387933049,4.683700958,4.910315732,0.075016913,0.21102086
ribosome maturation factor RimM,0.421552749,6.014457507,4.903043096,0.075175812,0.211199137
SlyX protein,-0.69200196,3.363376659,4.885982916,0.075550449,0.211982287
GTPase Era,0.337684769,8.847143374,4.861514238,0.076092324,0.21307788
Pyrimidine dimer DNA glycosylase,-0.362607469,4.347565582,4.859657976,0.076133661,0.21307788
glucuronate isomerase,-0.393603286,5.206166248,4.854563257,0.076247263,0.213126042
PgpA domain-containing protein,0.324073414,6.536766572,4.839437906,0.076585946,0.213802433
GCN5 family acetyltransferase,0.342163063,5.084341071,4.822040486,0.076978132,0.214626292
DNA-directed RNA polymerase subunit omega,-0.463871905,7.394942537,4.795574459,0.07758019,0.216032493
DUF1140 domain-containing protein,-0.381783252,2.635809248,4.785265052,0.077816557,0.216047071
Na(+)/H(+) antiporter,0.322655702,6.223968296,4.785016914,0.077822208,0.216047071
Histone domain-containing protein,0.445599933,7.865633922,4.777045665,0.078005643,0.216047071
adenine deaminase,-0.387943712,5.206328057,4.774980989,0.078053257,0.216047071
Adenylate cyclase,-0.392975764,4.710402008,4.774082147,0.078073998,0.216047071
Endonuclease,0.365829567,3.37520762,4.75429633,0.078532531,0.217044282
DUF772 domain-containing protein,0.539885491,3.197514807,4.748803208,0.078660507,0.217126567
General stress protein,0.421479282,10.13166328,4.740902676,0.078845059,0.21736462
putative fructose-6-phosphate aldolase,-0.530784476,4.88595447,4.735004372,0.078983255,0.217474442
ribosome silencing factor,0.485272397,6.507574748,4.726484026,0.079183483,0.217754578
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",-0.306520183,5.842165414,4.699333895,0.079826309,0.219003049
RNA polymerase factor sigma-54,-0.313198667,6.325936964,4.698944776,0.079835575,0.219003049
phosphoglucosamine mutase,0.331074795,8.808851913,4.680176632,0.080284323,0.219774049
Transposase,0.363030486,10.10875185,4.678880831,0.080315437,0.219774049
Competence protein ComEA,-0.533903622,1.547094438,4.672343382,0.080473551,0.219926909
